,questions,answers,title
0,How can I prepare for the AIAP programme?,"
This is one of the most frequent question, and we have prepared articles and resources to help you.
Check out the following materials:

AIAP Field Guide (PDF)
AIAP Field Guide (Course)
AIAP Assessment

to find out how you can prepare for the AIAP programme. ",AI Apprencticeship Program (AIAP)
1,What type of candidates are we looking for in AIAP?,"
We are looking for candidates who possess a keen interest to pursue a career in the area of machine learning and data science. We believe that candidates can come from any area of specialization, and the eligibility and requirements are as follows:

Eligibility

Singaporean only
Graduated from a recognized university or Polytechnic* (*with at least 3 years of working experience)
Eligible for TeSA CLT / TMCA Funding


Technical Knowledge and proficiency requirements

Intermediate programming experience in one of these languages: Python, R, Scala, Java, C, C++, C#, Go
Understand basic data pre-processing (handling missing data, outliers etc…)
Build machine learning models using frameworks such as TensorFlow, PyTorch, Keras, and scikit-learn
Build machine learning pipeline that consists of modular and sequential components to train and build models
Apply software engineering best practices in basic code documentation (Readme, docstrings and requirements.txt)
Deploy your models in Docker containers
Able to provision and use of cloud computing infrastructure such as Microsoft Azure
Able to do Linux shell scripting
Able to use at least one of the following database and data processing technologies such as SQL, NoSQL, Apache Hadoop and/or Apache Spark
Able to use GitHub/GitLab and perform proper code check-in/out and repository
Understand Statistical fundamentals



Beyond that, we are looking for candidates who are self-directed, independent learners, good problem solvers and work well in teams. Selection is competitive and the above are more likely our minimum requirements.  Please review this article for more information.
This post was modified 4 months ago by wendyt Halim Outcompute to outcompete | Growing our own timber
 ",AI Apprencticeship Program (AIAP)
2,"""Eligible for TeSA CLT / TMCA Funding""","
The requirements have always been there.. ",AI Apprencticeship Program (AIAP)
3,How is the Technical Assessment and Interview conducted?,"
Refer to the article on AIAP® Assessment here
",AI Apprencticeship Program (AIAP)
4,What is the difference between the 9 and 12 months of AIAP apprenticeship period?,"



Programme Period
9 Months
12 Months


Age Criteria
Singaporeans below 40 years
Singaporeans 40 years & above


Programme Outline


2 months hybrid online and face to face mentoring; self-directed learning; and

 

7 months on the job training via multiple AI project tracks to deep-skill




2 months hybrid online and face to face mentoring; self-directed learning

 

7 months on the job training via multiple AI project tracks to deep-skill; and

 

3 months assignment to project teams within AI Singapore to get additional business and technical hands-on experience




 ",AI Apprencticeship Program (AIAP)
5,What are the laptop requirements for AIAP?,"









You are required to use your own laptop for the AI Apprenticeship Programme (AIAP).
We recommend that your laptop meets the minimum requirements as listed below:

Recent (the last 5 years) x86-based hardware with either Intel or AMD processor
64-bit Operating System. This can be Windows (Windows 7 and above), Linux or Mac OS X
A minimum of 8GB of memory
A minimum of 128GB of hard disk space available

For the software stack, we recommend that you install the following:
1. Docker

If you are running Mac OS X, please follow the official instructions from Docker (



DOCS.DOCKER.COM  ""https://docs.docker.com/docker-for-mac/install/""
Install Docker Desktop on Mac
Install Docker for Mac to get started. This guide covers system requirements, where to download, and instructions on how to install and update.


).
If you are running Linux, please follow the official instructions from Docker (



DOCS.DOCKER.COM  ""https://docs.docker.com/install/linux/docker-ce/ubuntu/""
Install Docker Engine on Ubuntu
Jumpstart your client-side server applications with Docker Engine on Ubuntu. This guide details prerequisites and multiple methods to install.


).
If you are running Windows 10 Pro, you can install the official Docker for Desktop from the website (



DOCS.DOCKER.COM  ""https://docs.docker.com/docker-for-windows/install/""
Install Docker Desktop on Windows
Get started with Docker for Windows. This guide covers system requirements, where to download, and instructions on how to install and update.


).
If you are running a Windows OS other than Windows 10 Pro, we strongly recommend you install VirtualBox and install Linux as a guest Virtual Machine for your Docker needs. You can download the VirtualBox here: 


VIRTUALBOX.ORG  ""https://www.virtualbox.org/wiki/Downloads/""
Downloads – Oracle VM VirtualBox


.

2. Python 

Install the latest Anaconda Distribution with Python version 3 (


ANACONDA.COM  ""https://www.anaconda.com/distribution/""
Anaconda | Anaconda Distribution
Anaconda's open-source Distribution is the easiest way to perform Python/R data science and machine learning on a single machine.


).
Please refer to the following link: 



HELP.GITHUB.COM  ""https://help.github.com/articles/set-up-git/""
Set up Git - GitHub Docs
At the heart of GitHub is an open-source version control system (VCS) called Git. Git is responsible for everything GitHub-related that happens locally on your computer.




3. SSH

If you are running Mac OS X or Linux, this should already be available on your system.
If you are running Windows, follow the same instructions for Docker in step 1 and SSH will be available as part of the Docker installation or via a Linux Virtual Machine.

4. A text editor or IDE

We recommend Visual Studio Code (



CODE.VISUALSTUDIO.COM  ""https://code.visualstudio.com/""
Visual Studio Code - Code Editing. Redefined
Visual Studio Code is a code editor redefined and optimized for building and debugging modern web and cloud applications.  Visual Studio Code is free and available on your favorite platform - Linux, macOS, and Windows.


) or if you prefer, any others such as Vim/Emacs, PyCharm (CE), etc.



 




 



















 















 ",AI Apprencticeship Program (AIAP)
6,What if I decided to drop out of AIAP?,"









As AIAP is a fully sponsored programme, if you drop out of the programme, you will have to reimburse AI Singapore for the monthly training allowance that has been paid out to you and the programme fees.








 ",AI Apprencticeship Program (AIAP)
7,How much is the monthly stipend and how is the monthly training allowance determined?,"
The monthly training allowance or stipend value is calculated based on relevant experiences in AI, ML, Data-science, software engineering, associated software development and educational qualifications listed in your curricula vitae (CV) submitted when you applied for AIAP.
The monthly training allowance is between SGD 3500 – SGD 5500.
It is therefore important to indicate your education qualifications and your work experiences clearly in your CV. The monthly training allowance value offered is not negotiable. ",AI Apprencticeship Program (AIAP)
8,Why do I need to have 2 guarantors when I accept the AIAP admission offer?,"
AIAP is a fully sponsored programme by the Singapore government, hence AI Singapore requires all apprentices to have 2 working Singaporeans / Singapore Permanent Residents with minimum annual income of $30,000 as guarantors.
Guarantors will be responsible for the payback of the fees (sponsored by AISG and/or AISG’s funding partners) when there is a breach of the terms & conditions/trainee agreement and the apprentice is unable to pay back the fees. ",AI Apprencticeship Program (AIAP)
9,What AI tools and frameworks would the AIAP apprentices know?,"









Most of the projects done by the AIAP apprentices would be built in Python and using frameworks such as Tensorflow/Keras, PyTorch.
They would also have built their tools on platforms such as Microsoft Azure Cloud, Google Cloud, AWS and Spark/Databricks.
However, each apprentice would typically be proficient in more tools than those listed above, as they would be involved in different types of projects which require different types of tools and programmes.








 ",AI Apprencticeship Program (AIAP)
0,How do I hire these AI Talents?,"
You can submit your JD via the job portal here at The Epoch.
If you are a 100E project sponsor, or planning to be a 100E project sponsor, we can help organize a 1-2 hour workshop for you to share your job opportunities with the graduating AIAP cohort, and for you to meet them and for the apprentices to learn more about your organization. ",Hiring AI Talent
1,Can I hire these Talents as interns?,"
It is unlikley any of our apprentices will join you as an intern.
Our apprentices are well sought after by the industry – 4 out of 5 will secure a full time role in AI/Data Science even before officially completing the Apprenticeship Programme, a testament of the industry’s recognition of our Programme’s rigour. ",Hiring AI Talent
2,Do I have to pay talent placement fees?,"
There are no costs for partnering us. Our goal is to assist companies in Singapore in recruiting certified AI talent. ",Hiring AI Talent
3,How qualified are the Apprentices?,"
The AIAP is a rigorous programme, and graduates of the AIAP programme land into roles such as Data Scientist, AI/ML Engineers, MLOps Engineers and similar roles with leading organizations such as DBS Bank, Grab, ST Engineering, Google etc.
The apprentices  typically have a degree, and some have Masters and a few are PhD holders across many disciple. ",Hiring AI Talent
0,What if I am halfway through the old AI4E?,"
The old AI4E is archived and you will not be able to access the content anymore.
We encourage you to take this new version to have a better learning outcome. AI4E (version 3.0) has 5 video modules averaging 18 minutes and quizzes to affirm your understanding of key points. You can watch the video and learn at your own pace.


 ",LearnAI: AI for Everyone (AI4E)
1,Do I get a new badge if I take AI4E (version 3.0)?,"









If you have completed the previous version of AI4E, you will not receive a new badge for completing the new version.











 ",LearnAI: AI for Everyone (AI4E)
2,What is the difference between the previous AI4E and version 3.0?,"









We have updated key AI concepts for your understanding. There are also new content on AI Ethics and standardization to promote responsible AI for everyone.











 ",LearnAI: AI for Everyone (AI4E)
3,What will happen to my badge from the previous version of AI4E?,"

It remains listed in your learning dashboard (see My Account). However we strongly encourage you to take the AI4E (version 3.0) to refresh your AI literacy.



 ",LearnAI: AI for Everyone (AI4E)
4,Why do you have a new version of AI4E (version 3.0)?,"
We refresh our learning content regularly so that you can understand the latest development of AI and have a better learning outcome.


 ",LearnAI: AI for Everyone (AI4E)
5,How can I sign up for LearnAI AI4E course?,"
Sign up for LearnAI as a free member here to start your learning and enrol into the AI4E course (located in “Everyone” category)


 ",LearnAI: AI for Everyone (AI4E)
6,When is the next AI4E workshop?,"
We have conducted our last live-streamed session in Jun 2021. AI4E is now available in LearnAI. To start your learning, sign up for LearnAI as a free member and enrol into the AI4E course (located under the “Everyone” category)


 ",LearnAI: AI for Everyone (AI4E)
7,Will I get a AI4E certificate of completion?,"









Upon completion of our LearnAI AI4E course, you will be awarded a digital badge from LearnAI.











 ",LearnAI: AI for Everyone (AI4E)
8,Is LearnAI AI4E course free?,"









Yes, the AI4E course is free. All you need to do is sign up for LearnAI as a free member to start your learning.











 ",LearnAI: AI for Everyone (AI4E)
9,"After Completing The LearnAI AI4E Course, I Am Interested To Learn More. What Can I Do Next?","
Upon completion of the LearnAI AI4E courses, you may wish to continue your AI learning by signing up for the AI for Industry (AI4I) programme.
",LearnAI: AI for Everyone (AI4E)
0,Will I get a new badge or certificate if I complete the new Literacy in AI?,"


Both courses will be awarded the same Literacy in AI certificate. Only one such certificate will be given regardless of the number of completions.




 ",LearnAI: AI for Industry (AI4I)
1,What if I cannot finish the previous version of the course by the end of the transition period?,"


Access to the previous version been removed at the end of the transition period. Your progress will be lost if you were unable to finish the course by then. You will then need to complete the new version of the course in order to receive the certificate.


 


 ",LearnAI: AI for Industry (AI4I)
2,What if I decide to drop out of AI4I?,"









Once you enroll for the course, you are not allowed to drop out / withdraw from the course. You may choose not to complete any of the learning.











 ",LearnAI: AI for Industry (AI4I)
3,What are the pre-requisites for AI4I?,"









While there are no pre-requisites for AI4I, we recommend learners to complete the AI4E suite of courses (AI for Everyone® Theory, Hands-on (HDB)and Hands-on (Student Grades) ) before embarking on AI4I – Literacy in AI









This post was modified 6 months ago 2 times by  

 ",LearnAI: AI for Industry (AI4I)
4,Do I have to give up my current job to join AI4I?,"









No. This course is designed to enable professionals to continue to learn and up-skill at their own pace.











 ",LearnAI: AI for Industry (AI4I)
5,Who is AI4I for and what are the outcomes upon completion?,"
AI4I is a fully online programme meant to provide technical executives, managers and developers a learning experience in building data and AI application using Python. Upon completion, you will be able to build basic data/AI applications.


 ",LearnAI: AI for Industry (AI4I)
6,My AI4I programme period was extended and I purchased an additional DataCamp Premium Plan Access Code to continue my learning. Where can I locate the Access Code? (for learners from AI4I Batch 5 & May 2020 ONLY),"
The DataCamp Premium Plan Access Code was sent to your email address. Please get in touch with us at learn@aisingapore.org if you did not receive your access code.


 ",LearnAI: AI for Industry (AI4I)
7,Will I get a certificate at the end of the AI4I programme?,"
The AI4I programme consists of 3 parts:
1. Literacy in AI
2. Foundations in AI
3. Proficiency in AI
You will receive an e-certificate upon completion of each part.


 ",LearnAI: AI for Industry (AI4I)
8,Will I still have access to Datacamp upon completion of AI4I?,"









Your 12-month DataCamp subscription starts upon successful redemption of your DataCamp access code. You may check your DataCamp subscription by following the steps provided at this link. 



 










 ",LearnAI: AI for Industry (AI4I)
9,"I'm in the process of learning my Literacy in AI, what should I do?","


You can still continue to complete the previous version of the course up until the end of the transition period.




 ",LearnAI: AI for Industry (AI4I)
0,"Can I change my AI4S group's start date? As the educator, I need access before the start date to review the content.","


If you need access before your class’s start date, please reflect that as the start date during registration.


 


 ",LearnAI: AI for Students (AI4S)
1,"I would like to introduce AI to my students to help them see the relevance of AI in everyday life, where can I start?","


We recommend you to introduce AI Singapore’s online course “AI for Everyone“ to your students.  The course is free. To enrol to the course, you will have to sign up for the free LearnAI membership.


This post was modified 6 months ago by  

 ",LearnAI: AI for Students (AI4S)
2,Are there any projects that can be incorporated into my course?,"


Students can apply what they learnt in courses through DataCamp Projects. Alternatively, you may wish to explore AI Singapore’s open source software which your staff/students may find useful.




 ",LearnAI: AI for Students (AI4S)
3,Will students receive a DataCamp certificate upon completion of a DataCamp module?,"


Yes, students receive DataCamp certificates upon completion of any courses/modules, skill tracks and career tracks.


 


 ",LearnAI: AI for Students (AI4S)
4,"I am an educator, can I extend my DataCamp group after 6 months?","


No, you cannot extend your DataCamp group access after 6 months.  The existing DataCamp group cannot be extended.  However, you can submit a new application for a new group.  Please note that the existing group configuration cannot be copied / transferred to the new group.


 


 ",LearnAI: AI for Students (AI4S)
5,Where can I find a list of all DataCamp's modules?,"


You can find it here.


 


 ",LearnAI: AI for Students (AI4S)
6,Who can apply for the AI4S (Educator) group?,"









All teaching staff from local educational institutes from government / government-aided secondary schools and Post-Secondary Education Institutes (PSEI) can apply for the AI4S (Educator) group.






 



















 


















 ",LearnAI: AI for Students (AI4S)
7,Do students receive a certificate issued by AI Singapore after completing the AI4S programme in LearnAI?,"


Upon completion of the AI4S programme, an e-certificate will be issued to the learner.




 ",LearnAI: AI for Students (AI4S)
0,Where can I access the AI for Kids (AI4K)®Storybook?,"


You can download the digital copy at our LearnAI section here


 


 ",LearnAI: AI for Kids (AI4K)
1,Can I arrange dedicated sessions for my school's teachers / parent support group to attend the Train-the-Trainer (TTT) course?,"


Yes, the school must commit to a minimum class size of 10 participants (TTT course fee applies).


 


 ",LearnAI: AI for Kids (AI4K)
2,Will I be able to conduct the AI4K Bootcamp outside primary schools on my own after my certification?,"


No. However, AISG/AI Learning Lab can organize the session with you as the lead trainer.


 


 ",LearnAI: AI for Kids (AI4K)
3,How long is the AI4K Certified Instructor certificate valid for?,"


It is valid for 2 years.




 ",LearnAI: AI for Kids (AI4K)
4,How can I register/apply for AI4K Train-the-Trainer (TTT)?,"


Please contact us at AI Learning Lab at darrentan@ailearninglab.org to indicate your interest. AI Learning Lab is our licensed partner for AI4K Certified Instructor programme.


 


 ",LearnAI: AI for Kids (AI4K)
5,Do I need to pay for the Train-the-Trainer (TTT)?,"


Yes, the fee is SGD 550.




 ",LearnAI: AI for Kids (AI4K)
6,Can I use my SkillsFuture credits to apply?,"


No, not at the moment.




 ",LearnAI: AI for Kids (AI4K)
7,When will I be awarded the AI4K certificate?,"


You are required to attend all 2 days course, pass the assessment and peer reviews, and facilitate at least 1 AI4K public bootcamp in order to be certified.




 ",LearnAI: AI for Kids (AI4K)
8,What is AI4K Train-the-Trainer (TTT)?,"


This is a 2-day course conducted by our Certified Training Partner.  Trainees will learn AI4K curriculum, be able to present and conduct the hands-on activities independently. The trainees will be peer-reviewed and graded by Master Trainer.




 ",LearnAI: AI for Kids (AI4K)
9,What is an AI4K Certified Instructor?,"


This is a certificate awarded to participants who pass our AI4K Train-the-Trainer course. As a certified instructor, you will have full access to our AI4K lesson and materials and be qualified to teach AI4K-branded workshop in the primary school you are volunteering in.


 


 ",LearnAI: AI for Kids (AI4K)
0,Which email address will the reimbursement notification be sent to?,"
The email address associated with your PayPal account will get the notification of your reimbursement.


 ",LearnAI: AI Student Outreach Program
1,Unable to form SUG,"
Hi there, 
Please refer to the FAQ link below on how you can form the Student User Group (SUG) with others.
 https://epoch.aisingapore.org/community/faq-aisop/can-i-form-the-student-user-group-sug-with-friends-from-other-institutions/ 


 ",LearnAI: AI Student Outreach Program
2,"For Level 3, I don’t wish to purchase the bundle by CloudMile. Can I purchase the Google Professional Machine Learning Engineer exam voucher and/or Coursera access and/or Qwiklabs access on my own and claim for the reimbursement afterwards?","
Yes. In this case, please ignore the email and payment link provided by CloudMile.
You may purchase the Google Professional Machine Learning Engineer exam voucher (one-time) and/or Coursera access and/or Qwiklabs access on your own. The maximum total amount that you can claim for reimbursement for the three items is S$$877.40 (including GST). 
You have 365 days from the date of “AI Student Outreach Programme Level 3 Acceptance”  email to obtain the Google Professional Machine Learning Engineer Certificate and reimburse from AI Singapore. Note that you MUST obtain the Google Professional Machine Learning Engineer Certificate in order to claim for the Coursera and/or Qwiklabs expenses. 
Coursera and Qwiklabs invoices must be dated within 365 days from the date of “AI Student Outreach Programme Level 3 Acceptance” email. Both invoices must be dated prior to your Google Professional Machine Learning Engineer Certificate issuance date. 
Make one submission to claim all items. Please use the payment invoice(s) issued by your merchant(s) to claim for reimbursement from AI Singapore.
Check for the latest claim instructions in the Programme Booklet which you can download from the AI Student Outreach Programme website.
",LearnAI: AI Student Outreach Program
3,Are all the courses held online?,"
Level 1 to 3 courses are self-directed learning (online). You may enjoy the flexibility and convenience of managing your studies at your own pace and time.
But don’t worry, you are not alone! Join AISG Community Groups and Ask-Me-Anything sessions to support your learning, networking and career development.
",LearnAI: AI Student Outreach Program
4,Are the certificates awarded recognised?,"
Each level completion offers an industry-recognized certification for you to showcase your achievement.
",LearnAI: AI Student Outreach Program
5,What can I reimburse from the $100 fund for the workshop my SUG organizes?,"
AISG will provide reimbursement* for workshops organized by SUG. Up to 2 workshops per calendar year and capped at $100 per workshop (inclusive of GST). Please read carefully the list of claimable items, supporting documents and other requirements in the Programme Handbook.* Subjects to approval
",LearnAI: AI Student Outreach Program
6,I’m an IT student with good programming skills. Can I skip Level 1 and go straight to Level 2?,"
Level 1 gives students a holistic view of AI, Machine Learning and AI ethics. Learn something new from this short course, before going to Level 2.
",LearnAI: AI Student Outreach Program
7,I don’t have any background in coding. Is this program suitable for me?,"

Level 1 is designed for beginners with no coding required. Go for it!
If you feel it’s too challenging, you may access our recommended pre-learning course: AI for Everyone (AI4E)®.

",LearnAI: AI Student Outreach Program
8,Can I form the Student User Group (SUG) with friends from other institutions?,"
We encourage you to form the Student User Group (SUG) with your school mates so you can learn together and support each other.
Join this student-initiated Telegram Group if you need partners to form an SUG or join an existing one: 



T.ME  ""https://t.me/+hwMBkce1vLs3NWY1""
Telegram: Join Group Chat


.
",LearnAI: AI Student Outreach Program
0,How do I sign-up for TWA+ Programme @ AI Singapore?,"
TWA+ Programme is administered by the Academy of Singapore Teachers (AST). Please contact the Academy of Singapore Teachers (AST) for registration and further enquiries.
This post was modified 1 week ago by  

 ",LearnAI: Teacher Work Attachment Program
1,"Is TWA+ Programme @ AI Singapore applicable for educators from ITE, polytechnics and universities?","
AI Singapore welcomes educators from ITE, polytechnics and universities. Please refer to the three tracks on the programme website here, and contact AI Singapore at learn@aisingapore.org for registration and further enquiries.
  

 ",LearnAI: Teacher Work Attachment Program
2,Does hybrid working arrangement apply?,,LearnAI: Teacher Work Attachment Program
3,When does the attachment start and end?,"
Teachers will need to indicate their proposed attachment dates when registering with the Academy of Singapore Teachers (AST). AST will check with AI Singapore on the availability.
Teachers can extend their work attachment through Professional Development Leave (PDL).
",LearnAI: Teacher Work Attachment Program
4,Will I be paid for the attachment?,"
Teachers will still receive a salary from MOE during the work attachment.
  ",LearnAI: Teacher Work Attachment Program
0,How do I change the name that appears on my certificate?,"
For a request for a name change on accredible certificate, you are required to sign in to your accredible credential to submit the request. Please refer to the FAQ here.
Separately, do also log in to your LearnAI profile and edit the first name to reflect your full name, which will be displayed accordingly in future certificates.
  ",LearnAI: My LearnAI Account
1,Reset my password,"
Refer to FAQ ""Signing up and Logging into LearnAI account""


 ",LearnAI: My LearnAI Account
2,How do I delete my LearnAI account,"
Write to us by selecting the Category, LearnAI, here. 
Note: Once account is deleted, this action can't be undone and all records are lost.


 ",LearnAI: My LearnAI Account
3,How do I change my email address?,"
Refer to FAQ ""How do I update my personal details for my LearnAI account""


 ",LearnAI: My LearnAI Account
4,Signing up and Logging into LearnAI account,"
Creating a LearnAI Account 
 If you don't already have an account and would like to sign up, follow these steps: 
1. Navigate to the LearnAI page
2. Click ""No Account? Register here. 
3. Once you are re-directed to Checkout page, fill in your personal details to create an account. (Note: If there is already a LearnAI account with that email address, you will need a different email to create a new account.)



 
Logging in to an Existing DataCamp Account 
1. Navigate to the LearnAI page
2. Enter your username/account's email and password (Note: If you can't remember your password, click ""Lost your password?"" to create a new one.) 
3. Click Log In



 
Accessing LearnAI's Content 
Once you have created an account, you can start learning the Free courses. (Note: Course Fee applies for Foundations in AI course)
  

 ",LearnAI: My LearnAI Account
5,How do I update my personal details for my LearnAI account?,"
1. Log in to your LearnAI account here and go to My Account 
2. Click ""Edit Profile"" (Note: Citizenship and NRIC can't be changed once confirmed. To make changes, please write to us by selecting the Category, LearnAI, here.) 
3. Make the changes and click ""Save Changes""



  

 ",LearnAI: My LearnAI Account
0,What are the premium membership plan subscription fee,"
Visit the LearnAI website to learn more about the membership plan subscription fee.


 ",LearnAI: Fees
1,How do I redeem a coupon code on the LearnAI site?,"
At the checkout page, key in your coupon code in the coupon code area (shown below):
 

Scroll to the end of the page and you should see that the discount is applied.

Click on Place Order to complete the transaction.
You will be directed to a page with your order details as shown below: 

You will see that the 12-month DataCamp Premium Plan Access Code is included in your order. Please refer to our FAQs on instructions to redeem your DataCamp Premium Plan Access Code here
You will also receive a copy of the tax invoice by email.


 ",LearnAI: Fees
2,"Is the LearnAI Premium Membership fee eligible for any government funding such as SSG, WSG, CITREP, etc?","
The LearnAI Premium Membership fee is not eligible for any subsidy, including SkillsFuture Credit.
AISG funding is already incorporated into the membership fee for Singapore Citizens / Singapore Permanent Residents.
With AISG funding, Singapore Citizens / Singapore Permanent Residents will only pay SGD$224.70 annually for the LearnAI Premium membership, as compared to the full fee of $738.30 which is applicable to Others.


 ",LearnAI: Fees
0,How do I share my credentials on LinkedIn?,"
Upon completion of the AI for Everyone Theory and Literacy in AI courses, you should receive your badge/certificates via email from Accredible. 
To share your credentials on LinkedIn, please follow these steps: 
Step 1: Click on ‘View badge’ or ‘View certificate’
Step 2: Under ‘Share your achievement’, click on the LinkedIn icon.

Your badge/certificate will be shown as a LinkedIn post on your profile.

To obtain your LinkedIn post URL, please follow this article.


 ",LearnAI: Promotions
1,"If I had completed ‘AI for Everyone Theory’ or ‘Literacy in AI’ prior, am I still eligible for the promotion?","


Yes, simply share your badge/certificate on LinkedIn and complete this form. You will receive the promotional code for the steps that you have completed via email within 5 business days.



Stackable



 ",LearnAI: Promotions
2,How do I find the URL to my LinkedIn post?,"
Step 1: Go to your LinkedIn post
Step 2: Click on the options button on the top right corner of your post

Step 3: Click on ‘Copy link to post’
Step 4: Complete this form  to receive your promotional codes

Note: Please ensure that your profile is public. 


 ",LearnAI: Promotions
3,Do I have to unlock all 5 promo codes to receive the discount?,"









No. You do not need to enter all 5 promotion codes to enjoy the discount.











 ",LearnAI: Promotions
4,How do I unlock all 5 promotional codes?,"


Step 1: Complete ‘AI for Everyone Theory’ course and you will receive an email with the 5% promotional code. 
Step 2: Share your ‘AI for Everyone Theory’ badge as a post on your LinkedIn profile and complete this form with the URL to your LinkedIn post for verification. You will receive the 5% promotional code via email within 5 business days. 
Step 3: Complete ‘Literacy in AI’ course and you will receive an email with  the 5% promotional code. 
Step 4: Share your ‘Literacy in AI’ certificate as a post on your LinkedIn profile and complete this form with the URL to your LinkedIn post for verification. You will receive the 5% promotional code via email within 5 business days. 
Step 5: Obtaining the last 5% (giveaway bonus). We will be hosting giveaways periodically on our social media platforms. Follow the steps laid out in the post and you’re done! Do follow our various social media accounts so as to not miss any giveaways!
Step 6: Enter all promotional codes at the checkout and click ‘Apply coupon’

To see the steps to share your badge as a LinkedIn post, please visit this article. 
To find the URL for your LinkedIn post which you will need in your form, please visit this article. 
 



This post was modified 5 months ago 3 times by  

 ",LearnAI: Promotions
5,Who is eligible for the 'Stack it up' promotion?,"
All LearnAI learners are eligible for the promotion. This promotion is subject to the terms and conditions.


 ",LearnAI: Promotions
